tweet, time
@HelenlStar DM us your order number and we can help 👍,Sun Oct 29 13:41:16 +0000 2017
@katiebute We’re working on expanding to more countries soon. Stay tuned ✨,Sun Oct 29 13:40:12 +0000 2017
@annpassmore 👀💗,Sat Oct 28 17:47:48 +0000 2017
@veryveryfilthy DM us your order number and we'll look into it.,Sat Oct 28 17:41:01 +0000 2017
@melissa_mcg_  DM us and we can help!,Sat Oct 28 17:38:38 +0000 2017
@ritarigmor DM us your order number and we'll help!,Sat Oct 28 17:37:24 +0000 2017
@Chloreform DM us with your order number and we'll look into it.,Sat Oct 28 17:34:22 +0000 2017
@LucyLovebomb Sorry to hear that. DM us and we'll look into it.,Sat Oct 28 17:32:54 +0000 2017
@Mllennial_trash Yes! Pink Pouches come in every order 😊,Sat Oct 28 17:30:02 +0000 2017
@iamsuepatrick More than happy to help. Check your DMs!,Sat Oct 28 17:29:11 +0000 2017
@tia_town_  Yes; all orders come with a sample of Glossier You.,Sat Oct 28 16:56:46 +0000 2017
#catsofglossier via https://t.co/uiqppqufa8 https://t.co/3iYAM9fkEN,Sat Oct 28 16:00:03 +0000 2017
@SariyJ @UPSHelp DM us your order number and we'll look into it ASAP!,Fri Oct 27 19:12:48 +0000 2017
RT @_enaj: My Uber driver just ask what perfume I was wearing as he wants to buy it to constantly spray in his car; sent him your way @glos…,Fri Oct 27 17:34:13 +0000 2017
Idea for you #halloween rg https://t.co/L2VMiwqJFe https://t.co/oUdmJXQOk8,Fri Oct 27 16:00:58 +0000 2017
🌹 Happy friday https://t.co/j0yrvdhRkJ,Fri Oct 27 14:36:51 +0000 2017
@meremars More details to come. Stay tuned!,Fri Oct 27 09:47:22 +0000 2017
@anissasukardi Our Lecithin is derived from vegetable oil. It is not of animal origin 👍,Fri Oct 27 09:30:27 +0000 2017
RT @tikaalove_: So I've been using @glossier Milky Jelly Cleanser for the past 4 days and my skin has never looked better.,Thu Oct 26 17:45:06 +0000 2017
Guys; did it just get cold? https://t.co/1uL7Xf6fTo,Thu Oct 26 17:45:01 +0000 2017
#art! via https://t.co/KX0kajeFsx https://t.co/CpnK5pQjVs,Thu Oct 26 13:45:22 +0000 2017
@grapeflavoured DM us your order number and we can help!,Thu Oct 26 12:38:42 +0000 2017
@Missydotie Yes 👋,Thu Oct 26 12:38:15 +0000 2017
@claironeill Gift cards are currently only available in the US. We’re working to create gift cards that will work in the UK and Canada 👍,Thu Oct 26 12:35:47 +0000 2017
@KarlyShmarie Sorry to hear that. DM us and we’ll help!,Thu Oct 26 10:08:36 +0000 2017
@dlhmarketing Sorry to hear you’re having trouble. DM us and we can help!,Wed Oct 25 11:59:32 +0000 2017
@kttwlk DM us and we’ll help 👍,Wed Oct 25 10:12:44 +0000 2017
@RulesForCaro DM us and we can help!,Wed Oct 25 09:57:25 +0000 2017
@lottielockyer38 So sorry to hear that. DM us and we’ll help!,Wed Oct 25 09:34:11 +0000 2017
@angela_marie123 Anything is possible. We’re always working on new things ✨,Wed Oct 25 09:23:05 +0000 2017
Welcome home https://t.co/go0Zh442K4 https://t.co/UocjwCZ7OC,Tue Oct 24 21:20:00 +0000 2017
@hipstress A sample of Glossier You comes with every purchase 👍,Tue Oct 24 19:00:44 +0000 2017
@theKTB Sorry to hear that! DM us your order number and we can help.,Tue Oct 24 18:58:18 +0000 2017
@teambrice Glossier You is different than Body Hero. The scent in Body Hero is subtle; so it won’t interfere with any other fragrance.,Tue Oct 24 18:55:05 +0000 2017
@VictoriaR915 DM us your order number and we're happy to help track your package 👍,Tue Oct 24 18:52:54 +0000 2017
@NikkiKendall92 DM us and we'll help!,Tue Oct 24 18:46:40 +0000 2017
@ramniiks Pink Pouches are no longer sold separately. Stay tuned for updates on new merch!,Tue Oct 24 18:46:00 +0000 2017
RT @michellleromano: Being a cult brand means being alive - interacting with and listening to consumers. - @EmilyWWeiss; Founder &amp; CEO of @…,Tue Oct 24 15:32:36 +0000 2017
RT @EmilyLirag: The life of a product begins when it hits a customer’s doorstep and it’s up to her what will become of it @glossier #FCFest…,Tue Oct 24 15:31:24 +0000 2017
RT @sashaspielberg: As a true perfume addict I have to say I love the new @glossier fragrance.,Tue Oct 24 15:03:42 +0000 2017
@teambrice Nope—Glossier You is a different fragrance than the Orange Blossom Neroli Blend in Body Hero ✨,Tue Oct 24 09:59:38 +0000 2017
@CiViiLy Sorry to hear that. DM us and we’ll help!,Tue Oct 24 09:41:23 +0000 2017
@jgomezhadid We'll be shipping to Quebec in 2018! Stay tuned.,Tue Oct 24 02:48:21 +0000 2017
@lauraexo Glossier You is a different fragrance than the Orange Blossom Neroli Blend in Body Hero ✨,Tue Oct 24 02:46:23 +0000 2017
@nara_101 So sorry to hear that! DM us with your order number and we can take a look.,Tue Oct 24 02:44:45 +0000 2017
@eniyeokxh We don't offer gift cards for the U.K. yet; but we're working hard on making them available! Stay tuned.,Tue Oct 24 02:43:25 +0000 2017
@mwitchell Sorry that happened! DM us your order number and we can help.,Tue Oct 24 02:39:59 +0000 2017
@popBOCKndropit DM us with your order number and we can help!,Tue Oct 24 02:38:55 +0000 2017
Welcome to the world; Glossier You. https://t.co/HWs44soA6H pic via https://t.co/Z2NKwL4QKo https://t.co/O59wQixHBt,Mon Oct 23 21:36:15 +0000 2017
RT @IntoTheGloss: A perfume that makes You an essential ingredient;https://t.co/GdOO0hlRQx,Mon Oct 23 21:16:05 +0000 2017
@chelseastahl Glossier You is fully stocked in our showroom 👍,Mon Oct 23 17:30:00 +0000 2017
@thebluebellblog DM us with your order number and we can help!,Mon Oct 23 17:29:38 +0000 2017
@rebeccah6691 Yes! Glossier You is now available for purchase on https://t.co/lJPHYSrKkl and in our showroom.,Mon Oct 23 17:26:28 +0000 2017
@RoisinKelly20 Glossier You is currently available for purchase in U.K. orders on https://t.co/q8YELTjlwG 👍,Mon Oct 23 17:25:59 +0000 2017
@Michaela_v89 DM us with your email and the link; and we can help with that 👍,Mon Oct 23 14:21:49 +0000 2017
@ohitssare Sorry about that! DM us with your order number and we can take a look.,Mon Oct 23 14:20:40 +0000 2017
@onwednesdaymorn Glossier You is available in our showroom; and a sample comes with every Glossier purchase ✨,Mon Oct 23 14:12:14 +0000 2017
@ginandmilk Samples of Glossier You are now available with every U.K. purchase 👍,Mon Oct 23 14:11:04 +0000 2017
@businessmakeup Glossier You is now available on https://t.co/lJPHYSrKkl for £45 GBP; $60 USD; and $75 CAD.,Mon Oct 23 14:07:53 +0000 2017
@nikkiare93 DM us with your email and we can help with that!,Mon Oct 23 14:02:19 +0000 2017
@cosmetic_candy Your credit should should show within 24 hours; but DM us with your email if it doesn't and we can take a look.,Mon Oct 23 13:59:00 +0000 2017
Meet Glossier You—the ultimate personal fragrance. https://t.co/HWs44soA6H https://t.co/irJPazVayX,Mon Oct 23 11:10:51 +0000 2017
@anaplant We’re working on expanding to more countries soon. Stay tuned! 👍,Mon Oct 23 09:08:54 +0000 2017
@nnnnnicola 2-5 business days :),Sun Oct 22 21:48:08 +0000 2017
Clear some room on your Top Shelf—Glossier You launches tomorrow ✨ https://t.co/KhTmtA91iw,Sun Oct 22 21:40:35 +0000 2017
@nnnnnicola At this time billing and shipping addresses must be in the same country. We'll keep you posted if anything changes!,Sun Oct 22 18:49:15 +0000 2017
@CrueltyFreeBeck Glossier You is not vegan.,Sun Oct 22 14:18:20 +0000 2017
@terrashannon DM us for details 💕,Sun Oct 22 14:16:37 +0000 2017
@sfbetht Sorry to hear that! DM us your order number and we can help.,Sun Oct 22 14:12:23 +0000 2017
@camidrnd Glossier will be available at Colette until the end of December 👍,Sun Oct 22 14:11:30 +0000 2017
Soon. https://t.co/U3DlcOGgPG,Sat Oct 21 22:14:14 +0000 2017
@evansmayemily DM us and we can help!,Sat Oct 21 17:39:06 +0000 2017
@BethSouls Oh no; DM us so we can help!,Sat Oct 21 17:19:20 +0000 2017
@tj31470645 Sorry about that! DM us and we can help,Sat Oct 21 17:05:51 +0000 2017
@MOSHxSPICE Glossier You samples come with all New York showroom purchases!,Fri Oct 20 19:24:14 +0000 2017
Happy Friday https://t.co/6RzZg6EWEf,Fri Oct 20 17:22:56 +0000 2017
Glossier You bottle in development. Designer Laura Yeh cast and carved plaster molds by hand to get the perfect for… https://t.co/1Y8vLVW8yS,Fri Oct 20 15:50:18 +0000 2017
@DeLaetAlicia Yes ✨,Fri Oct 20 11:35:48 +0000 2017
@lastyearsgirl_  To get to our UK site scroll to the bottom of the homepage and select your country. DM us if you need any help 👍,Fri Oct 20 10:33:25 +0000 2017
@alisonjustine87 You'll be emailed with tracking once it ships :),Thu Oct 19 21:52:12 +0000 2017
Pre-order is now available❣️ Be the first to receive our debut fragrance. https://t.co/EJUkEjtFUX https://t.co/1dEIlRaTzA,Thu Oct 19 21:30:29 +0000 2017
@jojoexplora DM us your order number and we can help!,Thu Oct 19 20:32:50 +0000 2017
@Tizzie_Lish Stay tuned ✨,Thu Oct 19 20:32:38 +0000 2017
@kimsum_ DM us your order number and we can help!,Thu Oct 19 19:39:59 +0000 2017
RT @BritishVogue: - @Glossier Milky Jelly Cleanser - the Vogue verdict: https://t.co/gnEmGCf9ZZ https://t.co/KrHwD2mHF3,Thu Oct 19 19:34:30 +0000 2017
Stay glossy out there! 💫,Thu Oct 19 18:26:43 +0000 2017
@jojotastic DM us your order number and we can help!,Thu Oct 19 16:55:41 +0000 2017
