username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-09-02 22:10;0;0;"Super Affordable Skincare ... - #20SkincareRoutine #BalmDotCom #BEAUTY #BestProductsForDrySkin #CombinationSkin - http://www. totalskincare.net/super-affordab le-skincare-routine-for-dry-skin-ft-the-ordinary-alicia-fuller/ … pic.twitter.com/03y1gEHk6A";;;#20SkincareRoutine #BalmDotCom #BEAUTY #BestProductsForDrySkin #CombinationSkin;"904209883792154624";https://twitter.com/mytotalskincare/status/904209883792154624
;2017-08-29 12:04;0;1;"5 MIN LOOK OF THE DAY glossier #balmdotcom on the eye and lip meat @BRONXCOLORS skinny mascara… https://www. instagram.com/p/BYY4cVOh6zu/";;@BRONXCOLORS;#balmdotcom;"902607979064705024";https://twitter.com/maloryjoe/status/902607979064705024
;2017-08-24 12:47;0;2;"Camping out at the mailbox, waiting for my @glossier order. #obsessed #balmdotcom #bombdotcom #wowder";;@glossier;#obsessed #balmdotcom #bombdotcom #wowder;"900806691121483776";https://twitter.com/styledomination/status/900806691121483776
;2017-08-23 14:02;0;1;"These cute stickers from @glossier make my day so much brighter #glossier #balmdotcom pic.twitter.com/WWSOOdhss1";;@glossier;#glossier #balmdotcom;"900463170279624705";https://twitter.com/Sbaby_c/status/900463170279624705
;2017-08-14 18:10;0;0;"glossier Balm Dotcom skin salves are on the blog! (link in bio) #glossier #balmdotcom … https://www. instagram.com/p/BXy5OKRg-eV/";;;#glossier #balmdotcom;"897264186190843904";https://twitter.com/CrystalCandy/status/897264186190843904
;2017-08-14 09:47;0;3;"Worth the hype?Reviewing some @glossier (now shipping to #Canada ) goodies today! #BalmDotcom #GenerationG #glossier http://www. thehappysloths.com/2017/08/glossi er-generation-g-lipstick-crush-rose-balm-dotcom-swatches-review.html … pic.twitter.com/J5nP3WmKIc";;@glossier;#Canada #BalmDotcom #GenerationG #glossier;"897137631502286848";https://twitter.com/TheHappySloths/status/897137631502286848
;2017-08-10 20:05;0;0;"So excited about our first #purchase from glossier!! #skincare #Wowder #balmdotcom … https://www. instagram.com/p/BXo0X3onAr-/";;;#purchase #skincare #Wowder #balmdotcom;"895843623522246656";https://twitter.com/LuBelleLStyle/status/895843623522246656
;2017-08-08 12:01;0;1;"I'm so excited to share my very first @glossier haul on my blog! Check it out! -- http://www. ohhjuliana.com/2017/08/glossi er-haul.html … #glossier #haul #balmdotcom";;@glossier;#glossier #haul #balmdotcom;"894997060167979008";https://twitter.com/ohhjuliana/status/894997060167979008
;2017-08-02 11:14;0;0;"Has anyone tried both the #rose and the #mint #balmdotcom from #glossier ? I LOVE Mint, but I want to try Rose...";;;#rose #mint #balmdotcom #glossier;"892810920572801024";https://twitter.com/liquorishhhh/status/892810920572801024
;2017-07-14 11:19;0;0;"Just stocked up on #Glossier #boybrow and #balmdotcom in birthday cake! Hello, bday weekend! Get yours for 10% off: http:// bff.glossier.com/fMOKx";;;#Glossier #boybrow #balmdotcom;"885926620506320897";https://twitter.com/amerikanglam/status/885926620506320897
;2017-07-14 08:44;0;1;"Head over to my blog to read about my natural everyday makeup routine! @Ukbloggerunite @glossier #glossier #balmdotcom #everydaymakeup pic.twitter.com/pKeXfuJ4gr";;@Ukbloggerunite @glossier;#glossier #balmdotcom #everydaymakeup;"885887643854229504";https://twitter.com/Gabriellalundgr/status/885887643854229504
;2017-07-12 13:22;0;1;"Any thick Vaseline type cream will do actually but I use 8 hr creme (sometime in a pickle I also use #balmdotcom ). Reapply as needed.";;;#balmdotcom;"885232982881128449";https://twitter.com/DawnCloud/status/885232982881128449
;2017-07-11 04:36;0;0;"Obsessed #glossier #balmdotcom thanks @bcole429 pic.twitter.com/mmRBGSlWMp";;@bcole429;#glossier #balmdotcom;"884738122650710016";https://twitter.com/ZiembaL/status/884738122650710016
;2017-07-02 19:12;1;2;"Balm Life! @glossier #glossier #balmdotcom #obsessed @tamarakraus http:// hannahmariecook.com/2017/07/03/bal m-life/ … pic.twitter.com/fj95uUhl1e";;@glossier @tamarakraus;#glossier #balmdotcom #obsessed;"881697086869299200";https://twitter.com/hannahkooc/status/881697086869299200
;2017-06-30 18:08;0;7;"The @glossier staples. #boybrow #balmdotcom pic.twitter.com/iHKEZiQMeF";;@glossier;#boybrow #balmdotcom;"880956198039822336";https://twitter.com/mothhaus/status/880956198039822336
;2017-06-29 14:31;1;19;"Dear @glossier I LOVE U THATS ALLLLLLL <and the stickers to> #balmdotcom pic.twitter.com/4WggeeIpmd";;@glossier;#balmdotcom;"880539182753558533";https://twitter.com/lolomusic/status/880539182753558533
;2017-06-28 22:40;0;0;"I only wear glossier #glossier #balmdotcom @San Francisco, California https://www. instagram.com/p/BV6X8nGjUOd/";;@San;#glossier #balmdotcom;"880300000592502785";https://twitter.com/Msgabrielleg/status/880300000592502785
;2017-06-28 21:51;0;4;"@glossier #birthdaybalmdotcom #balmdotcom pic.twitter.com/RG8MIDCFS9";;@glossier;#birthdaybalmdotcom #balmdotcom;"880287616674840576";https://twitter.com/corrupt_casper/status/880287616674840576
;2017-06-28 09:21;0;1;"@glossier #balmdotcom lasts for hours and its absolutely amazing haha";;@glossier;#balmdotcom;"880098833174331392";https://twitter.com/helloclariza/status/880098833174331392
;2017-06-26 11:24;0;0;"We fell in love with #balmdotcom . Why? because it moisturizes and hydrates lips minus the… https://www. instagram.com/p/BV0BAUTD_LF/";;;#balmdotcom;"879405126317899779";https://twitter.com/tamaradelbridge/status/879405126317899779
;2017-06-22 07:23;0;0;"The time is now! @glossier #balmdotcom pic.twitter.com/T0PeWvpQUK";;@glossier;#balmdotcom;"877894772114849794";https://twitter.com/samanTHATwelch/status/877894772114849794
;2017-06-20 15:03;0;1;"My love for @glossier . #balmdotcom #happygirl #happyskin pic.twitter.com/ubCrJbJopE";;@glossier;#balmdotcom #happygirl #happyskin;"877285930679377921";https://twitter.com/brookeshelby/status/877285930679377921
;2017-06-19 22:53;0;1;"I'm waiting for you birthday cake #balmdotcom I'm waiting for you... @glossier pic.twitter.com/p7dQz3VwSK";;@glossier;#balmdotcom;"877041759154446337";https://twitter.com/samanTHATwelch/status/877041759154446337
;2017-06-19 07:50;0;2;"Smooth & minty lips thanks to @Glossier #BalmDotCom — p.s. 20% OFF your entire purchase w my link! >> http:// bit.ly/glossierbffnaa tizzle … << pic.twitter.com/XP4L6frHKw";;@Glossier;#BalmDotCom;"876814570668539904";https://twitter.com/naatizzle/status/876814570668539904
;2017-06-18 08:37;0;0;"The Ultimate No Makeup-Makeup | #Glossier Review http:// wp.me/p6UvuT-oq #balmdotcom";;;#Glossier #balmdotcom;"876463810302930944";https://twitter.com/Steff_Entralgo/status/876463810302930944
;2017-06-15 17:13;0;1;"Finally! @glossier #balmdotcom";;@glossier;#balmdotcom;"875506521018294272";https://twitter.com/samanTHATwelch/status/875506521018294272
;2017-06-15 08:13;0;5;"Just ordered #Haloscope in Topaz & #birthdaycake #balmdotcom from @glossier , for those almost makeup free summer days";;@glossier;#Haloscope #birthdaycake #balmdotcom;"875370644258664448";https://twitter.com/JaeISfancy/status/875370644258664448
;2017-06-15 06:55;1;2;"So excited @glossier Birthday #balmdotcom is now available link to shop here: https://www. glossier.com/reps/katiewald ow … #glossier #birthdaybalmdotcom pic.twitter.com/Yj9cg3DvuP";;@glossier;#balmdotcom #glossier #birthdaybalmdotcom;"875351001913581568";https://twitter.com/heykatieco/status/875351001913581568
;2017-06-15 05:31;0;2;"WORD ON THE STREET: @glossier new #birthdaycake #balmdotcom launches today-Use my link for 20% off your first order! http:// bff.glossier.com/fFPDn";;@glossier;#birthdaycake #balmdotcom;"875329959019118592";https://twitter.com/AlanaMarie/status/875329959019118592
;2017-06-09 15:11;0;0;"Apparently we're hosting an office party for the @milkbarstore X glossier #balmdotcom collab! … https://www. instagram.com/p/BVIpaCrDxf_/";;@milkbarstore;#balmdotcom;"873301513698988037";https://twitter.com/jenn_edit/status/873301513698988037
;2017-06-09 14:44;0;0;"Just got the latest #balmdotcom from glossier and I am in love Its clear with holographic… https://www. instagram.com/p/BVImYQggi_H/";;;#balmdotcom;"873294842826305536";https://twitter.com/caitlynmeyermua/status/873294842826305536
;2017-06-09 13:51;0;0;"glossier X @milkbarstore #balmdotcom coming soon... https://www. instagram.com/p/BVIgPOcnOmu/";;@milkbarstore;#balmdotcom;"873281363188867072";https://twitter.com/gabriellaloren/status/873281363188867072
;2017-06-08 20:19;0;2;"when bday in June is new xmas in July, thx @glossier for sending special @milkbarstore x #balmdotcom #glossier #glossierinthewild #nyc pic.twitter.com/Nl9rlGCeAs";;@glossier @milkbarstore;#balmdotcom #glossier #glossierinthewild #nyc;"873016648499900416";https://twitter.com/laura_correnti/status/873016648499900416
;2017-06-07 14:18;0;0;"Guys!!!!!!! Soon . by : @michellekmiles #glossier #lipbalm #balmdotcom #newin … https://www. instagram.com/p/BVDZy6hlgkF/";;@michellekmiles;#glossier #lipbalm #balmdotcom #newin;"872563494478114816";https://twitter.com/gtk77/status/872563494478114816
;2017-06-06 00:15;0;0;"The Ultimate No Makeup-Makeup | #Glossier Review http:// wp.me/p6UvuT-oq #balmdotcom";;;#Glossier #balmdotcom;"871988994963329024";https://twitter.com/Steff_Entralgo/status/871988994963329024
;2017-05-27 16:53;0;0;"Glossier IRL #balmdotcom @Claremont Canyon Regional Preserve https://www. instagram.com/p/BUnWwRCgbFl/";;@Claremont;#balmdotcom;"868616153740062720";https://twitter.com/Msgabrielleg/status/868616153740062720
;2017-05-26 14:09;1;3;"What are your @glossier #pinkpouch essentials? Mine are #boybrow #geng in cake + #balmdotcom coconut xo pic.twitter.com/ELMTt6KgGZ";;@glossier;#pinkpouch #boybrow #geng #balmdotcom;"868212553939263489";https://twitter.com/Blainecwithrow/status/868212553939263489
;2017-05-03 13:40;0;0;"Plans for tonight: glossier #glossier #skincare #newin #finally #phase1 #phase2 #balmdotcom … https://www. instagram.com/p/BTpNoYljpzD/";;;#glossier #skincare #newin #finally #phase1 #phase2 #balmdotcom;"859870368479285252";https://twitter.com/punkygeraldine/status/859870368479285252
;2017-04-28 17:49;0;0;"Glossier sticker from Summer 2015 ... so darn cute. #glossier #balmdotcom #nailpolish … https://www. instagram.com/p/BTcyGkGl1mW/";;;#glossier #balmdotcom #nailpolish;"858120983361855488";https://twitter.com/gtk77/status/858120983361855488
;2017-04-24 08:53;0;0;"glossier Phase 1 Set remodeled to now let you choose your #BalmDotCom of choice Save 20%… https://www. instagram.com/p/BTRhomtDZ6z/";;;#BalmDotCom;"856536650398277632";https://twitter.com/chrissy_durette/status/856536650398277632
;2017-04-23 20:49;0;0;"Skin First. Start with glossier Phase 1 Set . #glossier #glossierrep #skincare #balmdotcom … https://www. instagram.com/p/BTQOvtTleej/";;;#glossier #glossierrep #skincare #balmdotcom;"856354381624692736";https://twitter.com/gtk77/status/856354381624692736
;2017-04-22 13:35;0;0;"These are my BDC faves. #glossier #glossierrep #balmdotcom #lipbalm #damselflavored … https://www. instagram.com/p/BTM4PGyl51T/";;;#glossier #glossierrep #balmdotcom #lipbalm #damselflavored;"855882667849633794";https://twitter.com/gtk77/status/855882667849633794
;2017-04-21 21:48;0;0;"which flavour is your favorite? get yours for 20% off using my link: http:// bff.glossier.com/eAIPS #glossier #beauty #skincare #balmdotcom pic.twitter.com/zfa7pVWgIU";;;#glossier #beauty #skincare #balmdotcom;"855644391217651712";https://twitter.com/katiebschenk/status/855644391217651712
;2017-04-21 13:19;0;0;"Have you heard?! glossier's Phase 1 Set is now only $45. Choose your flavor of #balmdotcom & get… https://www. instagram.com/p/BTKRrcVA1iJ/";;;#balmdotcom;"855516398583517185";https://twitter.com/ErinMBrady/status/855516398583517185
;2017-04-21 07:10;0;0;"Did you catch the remodel of glossier Phase 1 ?! They added the choice of any #balmdotcom you… https://www. instagram.com/p/BTJnbTMj9vZ/";;;#balmdotcom;"855423489016201216";https://twitter.com/chrissy_durette/status/855423489016201216
;2017-04-20 07:49;0;0;"With the New Phase 1 Set from glossier you can now choose your flavor of #balmdotcom now! Sooo… https://www. instagram.com/p/BTHHIEkD9Ai/";;;#balmdotcom;"855070984109531136";https://twitter.com/chrissy_durette/status/855070984109531136
;2017-04-17 06:39;0;2;"Just in case the Easter bunny left some @glossier #balmdotcom out of your basket this year, you can snag a tube fo… http:// ift.tt/2p9SdEX pic.twitter.com/y9PuelEilv";;@glossier;#balmdotcom;"853966097451819008";https://twitter.com/jordantaylor/status/853966097451819008
;2017-03-31 11:15;0;0;"Lip essentials! #Glossier #GenerationG #BalmDotCom #GlossierAllDay #Lips #Lip #Makeup #MOTD http:// ift.tt/2oqalH8 pic.twitter.com/kwYMrFmNeI";;;#Glossier #GenerationG #BalmDotCom #GlossierAllDay #Lips #Lip #Makeup #MOTD;"847875099000799233";https://twitter.com/helloimkaren_/status/847875099000799233
;2017-03-28 10:00;0;0;"We've got our hands on some @glossier #balmdotcom ! Who else loves this product?! #MMFNYC #MakeMeFabulous pic.twitter.com/xsxD1GmU7f";;@glossier;#balmdotcom #MMFNYC #MakeMeFabulous;"846769074436788224";https://twitter.com/mmf_nyc/status/846769074436788224
;2017-03-26 12:24;0;0;"like shit i need #boybrow #skintint #cloudpaint #balmdotcom etc etc";;;#boybrow #skintint #cloudpaint #balmdotcom;"846080378846658560";https://twitter.com/slarsso/status/846080378846658560
;2017-03-24 11:53;0;0;"Happy #treatyoself Friday to me! ps use this if you want 20% off your order @glossier - the #balmdotcom is SO GOOD. http:// bff.glossier.com/fhRjy";;@glossier;#treatyoself #balmdotcom;"845347735226200064";https://twitter.com/alinaptweets/status/845347735226200064
;2017-03-21 04:07;0;1;"Embracing springtime with lilac&violet perfume and @glossier 's #CloudPaint in Puff & #balmdotcom in Rose pic.twitter.com/pm298NCu6t";;@glossier;#CloudPaint #balmdotcom;"844143320494432256";https://twitter.com/jolenemeghan/status/844143320494432256
;2017-03-14 07:14;0;2;"#glossier coconut #balmdotcom is #a1 tropical goodness #skincareroutine #skincareessentials … https://www. instagram.com/p/BRnxpLfDIMI/";;;#glossier #balmdotcom #a1 #skincareroutine #skincareessentials;"841653683385446400";https://twitter.com/glamonglam/status/841653683385446400
;2017-03-10 19:09;0;3;"@glossier staples #glossier #makeup #minimalist #bbloggers #beautytrends #balmdotcom #haloscope @IntoTheGloss #intothegloss pic.twitter.com/OpXG2cff1t";;@glossier @IntoTheGloss;#glossier #makeup #minimalist #bbloggers #beautytrends #balmdotcom #haloscope #intothegloss;"840399190618394624";https://twitter.com/chrissy_durette/status/840399190618394624
;2017-03-07 12:45;0;0;"Just another day patiently waiting for @glossier to ship to Canada...Our lips our so chapped without #BalmDotCom";;@glossier;#BalmDotCom;"839215328039170048";https://twitter.com/TheStrategyCA/status/839215328039170048
;2017-03-02 20:37;0;0;"Keeping with my Aloha Theme, my fave flavor of glossier Coconut #BalmDotCom https://www. instagram.com/p/BRKa7l5gaUT/";;;#BalmDotCom;"837522346726436865";https://twitter.com/chrissy_durette/status/837522346726436865
