username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-03-30 07:01;0;0;"Androgybeauty. #bts #beauty #skin #glossier #skintint #boybrow @East Williamsburg, Brooklyn https://www. instagram.com/p/BSQ85kKAvyf/";;@East;#bts #beauty #skin #glossier #skintint #boybrow;"847448668726792192";https://twitter.com/beauteousmax/status/847448668726792192
;2017-03-29 19:46;0;1;"Super cute touch with the stickers #glossier #boybrow #primer #beauty https://www. instagram.com/p/BSPvnO2gjNU/";;;#glossier #boybrow #primer #beauty;"847278711367884800";https://twitter.com/WynneBeckmann/status/847278711367884800
;2017-03-29 15:41;0;0;"Always a good day when glossier comes! #boybrow ! https://www. instagram.com/p/BSPTrPlDJ2S/";;;#boybrow;"847217278856912898";https://twitter.com/beauty_muse/status/847217278856912898
;2017-03-29 09:23;1;0;"#OOHboy (brow) @glossier #boybrow #OOH pic.twitter.com/b8MIRrtPOQ";;@glossier;#OOHboy #boybrow #OOH;"847122130382852097";https://twitter.com/OutfrontMediaUS/status/847122130382852097
;2017-03-28 13:12;0;8;"#androgyny #jeffreestarcosmetics #ABH #coverfx #glossier #boybrow #mannequin @JeffreeStar pic.twitter.com/W8QnVu17fm";;@JeffreeStar;#androgyny #jeffreestarcosmetics #ABH #coverfx #glossier #boybrow #mannequin;"846817247607898113";https://twitter.com/frankenmunster/status/846817247607898113
;2017-03-28 12:06;0;0;"Just trying to be a glossier model nothing new here ~Wearing #boybrow in blonde &… https://www. instagram.com/p/BSMN5Akh761/";;;#boybrow;"846800733093617664";https://twitter.com/Mylesy_Beauty/status/846800733093617664
;2017-03-28 10:12;0;1;"just woke up with terrible allergies but at least I have #boybrow @glossier";;@glossier;#boybrow;"846772079022137344";https://twitter.com/megtriv/status/846772079022137344
;2017-03-27 18:20;0;0;"Anyone have a @glossier promo code? #boybrow";;@glossier;#boybrow;"846532415824805894";https://twitter.com/brbpbj/status/846532415824805894
;2017-03-27 14:00;0;2;"Glossier Boy Brow in Black - Review and Before/After @glossier #glossier #boybrow http:// buff.ly/2nlP80y pic.twitter.com/7sd0MZGUFc";;@glossier;#glossier #boybrow;"846466917590355968";https://twitter.com/Maimaimaiii/status/846466917590355968
;2017-03-27 13:45;0;0;"Love u glossier #glossier #boybrow @East Village, Manhattan https://www. instagram.com/p/BSJ5sW6Dbwm/";;@East;#glossier #boybrow;"846463156683714560";https://twitter.com/KatrinaCVilla/status/846463156683714560
;2017-03-27 13:25;1;9;"I'm not sure anything could be more exciting than a @glossier pop-up right near my hotel. #shopping #soho #boybrow #nationaldewyglowday pic.twitter.com/sscqebBrip";;@glossier;#shopping #soho #boybrow #nationaldewyglowday;"846458169769406464";https://twitter.com/CarleyKnobloch/status/846458169769406464
;2017-03-27 12:23;0;1;"When your @glossier brows are so good you have to take a #selfie #boybrow hail to to king of brows #glossier pic.twitter.com/e3FhVWwYyD";;@glossier;#selfie #boybrow #glossier;"846442519026053121";https://twitter.com/loseely/status/846442519026053121
;2017-03-26 12:24;0;0;"like shit i need #boybrow #skintint #cloudpaint #balmdotcom etc etc";;;#boybrow #skintint #cloudpaint #balmdotcom;"846080378846658560";https://twitter.com/slarsso/status/846080378846658560
;2017-03-25 14:31;0;1;"Decided to try some glossier stuff and I am so dang pleased #boybrow pic.twitter.com/88VAeMDOnK";;;#boybrow;"845750016631345155";https://twitter.com/J_LaMone/status/845750016631345155
;2017-03-24 07:46;0;1;"Eyes: @milkmakeup Holographic stick Brows: @glossier the epic #BoyBrow Cheeks: @Bitebeauty … http:// ift.tt/2nYYMq2 pic.twitter.com/SER6MlmRix";;@milkmakeup @glossier @Bitebeauty;#BoyBrow;"845285660722450432";https://twitter.com/PingHatta/status/845285660722450432
;2017-03-23 19:19;0;0;"melniverse's photo https:// instagram.com/p/BR_rAc9Ff-q/ many of my fave things in one pic. #80s #pixelart on a building... #boybrow =amazing makeup...";;;#80s #pixelart #boybrow;"845097588747571201";https://twitter.com/imeeLiciousTea/status/845097588747571201
